lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months,fpm_2100_rcp_chg,fpm_2050_rcp_chg,fpm_2050_45_base_chg,fpm_2050_85_base_chg,fpm_2100_45_base_chg,fpm_2100_85_base_chg
-180,-79.63350677490234,NA,NA,0.2905367761850357,0.0017701213558514912,0.4330070453385512,0.002055154492457708,0.2775481877227624,0.0017290785908699036,0.3398570343852043,0.0016787747542063396,0.36922087892889977,0.0011752024292945862,12,-5.035723249117534e-4,-3.260759015878043e-4,2.8503313660621665e-4,-4.1042764981587656e-5,-9.134660164515163e-5,-5.94918926556905e-4
-180,-78.69110107421875,NA,NA,0.2884347351888816,0.0017720709244410198,0.42360106110572815,0.0020367875695228577,0.27458589399854344,0.0016981102526187897,0.3327787071466446,0.0017071229716142018,0.3594048197070758,0.0011276906977097194,12,-5.794322739044824e-4,-3.38677316904068e-4,2.647166450818379e-4,-7.39606718222301e-5,-6.494795282681797e-5,-6.443802267313004e-4
-180,-77.748687744140625,NA,NA,0.31199133520325023,0.0021832560499509177,0.4415315066774686,0.002410436669985453,0.30338747551043826,0.002102762460708618,0.3586765353878339,0.0019478648900985718,0.3709931733707587,0.0012205491463343303,12,-7.273157437642415e-4,-3.07674209276835e-4,2.2718062003453544e-4,-8.049358924229954e-5,-2.3539115985234593e-4,-9.627069036165874e-4
-180,-76.80628204345703,NA,NA,0.3305862893660863,0.002468870331843694,0.46295516192913055,0.00269993394613266,0.33195656165480614,0.0023951766391595206,0.3833928642173608,0.002087083955605825,0.3882039946814378,0.0013837454219659169,12,-7.03338533639908e-4,-3.047573069731393e-4,2.3106361428896572e-4,-7.369369268417358e-5,-3.8178637623786926e-4,-0.0010851249098777773
-180,-75.86387634277344,NA,NA,0.3380519027511279,0.002535187949736913,0.4777806028723717,0.0027675392727057138,0.3509318803747495,0.0025583902994791665,0.3986930226286252,0.0021100727220376334,0.39815283939242363,0.0014485182861487071,12,-6.615544358889263e-4,-2.0914897322654724e-4,2.3235132296880057e-4,2.3202349742253332e-5,-4.251152276992798e-4,-0.001086669663588206
-180,-74.92146301269531,NA,NA,0.3469201711316903,0.002587209145228068,0.4887077572445075,0.0028285011649131775,0.3720370717346668,0.0025890680650870004,0.4143560988207658,0.002108357846736908,0.4094489800433318,0.0014612004160881042,12,-6.471574306488037e-4,-2.394330998261771e-4,2.412920196851096e-4,1.8589198589324951e-6,-4.7885129849115993e-4,-0.0011260087291399636
-180,-73.97905731201172,NA,NA,0.3608080732325713,0.0026340422530968985,0.5067984163761139,0.002903982996940613,0.3992180290321509,0.0025654323399066925,0.4386252202093601,0.0021504859129587808,0.4242555821935336,0.0014942275981108348,12,-6.56258314847946e-4,-3.385506570339203e-4,2.6994074384371425e-4,-6.860991319020604e-5,-4.8355634013811776e-4,-0.0011398146549860637
-180,-73.036651611328125,NA,NA,0.3779784639676412,0.0026677226026852927,0.5350319668650627,0.0029482096433639526,0.4295668403307597,0.0025701026121775308,0.4667791339258353,0.0023254056771596274,0.4440811437865098,0.0014766442279020946,12,-8.487614492575328e-4,-3.7810703118642186e-4,2.8048704067865993e-4,-9.761999050776193e-5,-3.423169255256653e-4,-0.0011910783747831981
-180,-72.09423828125,NA,NA,0.39645586907863617,0.0026849408944447837,0.5672710215051969,0.0029289710024992623,0.4655120794971784,0.0025313335160414376,0.49521466344594955,0.002350399891535441,0.4654262885451317,0.001429750273625056,12,-9.206496179103849e-4,-3.976374864578247e-4,2.4403010805447867e-4,-1.5360737840334603e-4,-3.3454100290934274e-4,-0.0012551906208197277
-180,-71.1518325805664,NA,NA,0.4184668076535066,0.002670681724945704,0.6033417768776417,0.0028582103550434113,0.5072085286180178,0.002388312170902888,0.5304830272992452,0.002254404127597809,0.48613595589995384,0.0013431447247664134,12,-9.112594028313954e-4,-4.698981841405234e-4,1.8752863009770726e-4,-2.8236955404281616e-4,-4.1627759734789516e-4,-0.0013275370001792906
